task_id,completed,avg,std
25-20x20-A1_T1, 1.0, 0.044374539040727544, 0.039365973283768
25-20x20-A2_T1, 1.0, 0.05914525194035378, 0.0495041448536562
25-20x20-A3_T1, 1.0, 0.06295061181968777, 0.05171206818210858
25-20x20-A4_T1, 1.0, 0.1392578519208473, 0.14364756851142207
25-20x20-A5_T1, 1.0, 0.26206406490091466, 0.30809180956220017
25-20x20-A6_T1, 1.0, 0.474100031919661, 0.986778437151709
25-20x20-A7_T1, 1.0, 0.888024834060052, 1.0307597679136036
25-20x20-A8_T1, 1.0, 5.494591671900416, 12.947115735465664
25-20x20-A9_T1, 1.0, 26.863672588461487, 5.576619586809407
25-20x20-A10_T1, 0.02, 119.9896264015403, 0.2879158733684604
25-20x20-A11_T1, 0.0, 120.0314159471399, 0.010852479726900156
25-20x20-A1_T3, 1.0, 0.030976222398749087, 0.027482571916508217
25-20x20-A2_T3, 1.0, 0.06140803853893886, 0.040534433295629196
25-20x20-A3_T3, 1.0, 0.09051973846071633, 0.05009475150602791
25-20x20-A4_T3, 1.0, 0.13599515040114057, 0.09157636528883015
25-20x20-A5_T3, 1.0, 0.18339492033876012, 0.12652934787618014
25-20x20-A6_T3, 1.0, 0.28907190600119065, 0.26075364746076884
25-20x20-A7_T3, 1.0, 0.38777498305862534, 0.34042174016439597
25-20x20-A8_T3, 1.0, 0.5263803790998645, 0.769409629436582
25-20x20-A9_T3, 1.0, 1.0188610032587895, 1.2372369023572514
25-20x20-A10_T3, 0.98, 4.981542991839815, 17.654086357877055
25-20x20-A11_T3, 1.0, 2.941101772139664, 5.6073177238102065
25-20x20-A12_T3, 0.94, 14.241524715760315, 28.392661963455264
25-20x20-A13_T3, 0.86, 35.03824798340036, 40.14673139668864
25-20x20-A14_T3, 0.6, 76.58027847962018, 38.86744938370017
25-20x20-A15_T3, 0.02, 119.27821244855964, 5.355345793662723
25-20x20-A16_T3, 0.0, 120.05585814251914, 0.038187937844267154
75-20x20-A1_T1, 1.0, 0.009276645099453163, 0.009843678582828301
75-20x20-A2_T1, 1.0, 0.5230621868590242, 2.2811875086339146
75-20x20-A3_T1, 0.96, 4.985186911479977, 23.486299656959446
75-20x20-A4_T1, 0.92, 12.608941112099856, 33.76855146878193
75-20x20-A5_T1, 0.88, 17.257712100480568, 38.89224170222166
75-20x20-A6_T1, 0.78, 37.39363472223951, 50.26951072730091
75-20x20-A7_T1, 0.58, 53.24315091516124, 57.329414459861226
75-20x20-A8_T1, 0.4, 76.38699406156171, 54.904237066048026
75-20x20-A9_T1, 0.12, 110.60176393456, 26.477879747918983
75-20x20-A10_T1, 0.0, 120.08916187721945, 0.03914238749657777
75-20x20-A1_T3, 1.0, 0.00643615070002852, 0.00819265123032052
75-20x20-A2_T3, 1.0, 0.8789449490391417, 4.5076475558018
75-20x20-A3_T3, 1.0, 1.8191690953396027, 6.026809227694755
75-20x20-A4_T3, 0.7, 40.619748035040395, 53.71102651565385
75-20x20-A5_T3, 0.44, 71.4468751244794, 56.093417690263365
75-20x20-A6_T3, 0.34, 87.90929150270124, 48.511562171097346
75-20x20-A7_T3, 0.24, 95.33563288410107, 46.11880541063349
75-20x20-A8_T3, 0.12, 107.89529590737861, 33.97300333961532
75-20x20-A9_T3, 0.08, 111.4980563816821, 29.41589358132297
75-20x20-A10_T3, 0.06, 114.90505436558044, 20.85113959915933
75-20x20-A11_T3, 0.0, 120.11510830467974, 0.05341020153040076
