task_id,completed,avg,std
25-20x20-A1_T1, 1.0, 0.02829439773966442, 0.024759350096045015
25-20x20-A2_T1, 1.0, 4.173235539499583, 16.531122889175876
25-20x20-A3_T1, 0.74, 33.31376047541984, 51.74315617680494
25-20x20-A4_T1, 0.62, 53.983298737540025, 56.608389582751606
25-20x20-A5_T1, 0.3, 87.01583758501947, 51.64807545698574
25-20x20-A6_T1, 0.2, 99.2442949730804, 42.95677317683079
25-20x20-A7_T1, 0.08, 114.31290889685974, 23.03132747455752
25-20x20-A8_T1, 0.12, 108.42261010909992, 34.31599905605761
25-20x20-A9_T1, 0.06, 113.14104399730014, 27.31583900171475
25-20x20-A10_T1, 0.02, 119.35921101323999, 4.6991840204298585
25-20x20-A11_T1, 0.0, 120.03037245488012, 0.009070697425361783
25-20x20-A1_T3, 1.0, 0.025231396778835916, 0.02349519379394742
25-20x20-A2_T3, 1.0, 0.07360680736062931, 0.05548642033549379
25-20x20-A3_T3, 1.0, 0.09541131519945338, 0.06824569971925684
25-20x20-A4_T3, 0.94, 12.399230869480235, 30.729950568249762
25-20x20-A5_T3, 0.82, 29.38828130189955, 44.96847724616415
25-20x20-A6_T3, 0.56, 66.3985681148198, 53.13949327783405
25-20x20-A7_T3, 0.32, 85.06202172866062, 52.576253969048544
25-20x20-A8_T3, 0.36, 85.51432108635986, 50.03947077550404
25-20x20-A9_T3, 0.2, 101.05229200932081, 41.05952607362793
25-20x20-A10_T3, 0.1, 112.57250313252094, 27.098436973477355
25-20x20-A11_T3, 0.0, 120.03382527834096, 0.009731866199456417
75-20x20-A1_T1, 1.0, 0.009261488479241962, 0.009826184538595113
75-20x20-A2_T1, 1.0, 3.2378572930404332, 12.703368797538118
75-20x20-A3_T1, 0.76, 35.55005441335976, 50.390765893604566
75-20x20-A4_T1, 0.46, 69.02311564815959, 58.39806636969563
75-20x20-A5_T1, 0.3, 87.50025762184013, 52.23942528580433
75-20x20-A6_T1, 0.24, 96.2253723659995, 44.99048780715282
75-20x20-A7_T1, 0.06, 114.81705021514004, 23.244620503434163
75-20x20-A8_T1, 0.14, 107.20734108174031, 35.05868099153524
75-20x20-A9_T1, 0.06, 113.36199878971937, 26.607912542691817
75-20x20-A10_T1, 0.06, 113.47982478193983, 26.1919072857187
75-20x20-A11_T1, 0.04, 115.41802144906076, 22.633451342324882
75-20x20-A12_T1, 0.06, 115.6136590944999, 20.133092791490945
75-20x20-A13_T1, 0.02, 117.6564077428996, 16.73243106827347
75-20x20-A14_T1, 0.0, 120.03915888422009, 0.06393936697758677
75-20x20-A1_T3, 1.0, 0.0061695984801917805, 0.006822085318997888
75-20x20-A2_T3, 1.0, 0.9014782120197197, 4.5391354972788855
75-20x20-A3_T3, 1.0, 1.6450513679601135, 5.899029365602344
75-20x20-A4_T3, 0.6, 51.72537098988032, 56.53488836590274
75-20x20-A5_T3, 0.34, 85.66191307322006, 50.07644398312102
75-20x20-A6_T3, 0.16, 104.39942255103946, 36.854561280701766
75-20x20-A7_T3, 0.08, 112.72631721486017, 25.771641416025115
75-20x20-A8_T3, 0.04, 116.52434648881986, 18.385947278727798
75-20x20-A9_T3, 0.02, 117.63984259389952, 16.752035792442875
75-20x20-A10_T3, 0.0, 120.03349987153983, 0.014629067341826535
